student_id,date,choice_1,choice_2,choice_3,direct_assignment,assigned_cca,remarks
id_001,2020-01-13 02:21:00,cca_13,cca_18,cca_25,,cca_18,Assigned second choice
id_002,2020-01-13 02:21:00,cca_25,cca_03,cca_15,,cca_25,Assigned first choice
id_003,2020-01-13 02:21:00,cca_21,cca_22,cca_09,,cca_21,Assigned first choice
id_004,2020-01-13 02:21:00,cca_15,cca_02,cca_14,,cca_15,Assigned first choice
id_005,2020-01-13 02:21:00,cca_03,cca_16,cca_22,,cca_16,Assigned second choice
id_006,2020-01-13 02:21:00,cca_01,cca_17,cca_24,,cca_01,Assigned first choice
id_007,2020-01-13 02:21:00,cca_03,cca_02,cca_11,,cca_02,Assigned second choice
id_008,2020-01-13 02:21:00,cca_19,cca_15,cca_09,,cca_19,Assigned first choice
id_009,2020-01-13 02:21:00,cca_02,cca_22,cca_20,,cca_02,Assigned first choice
id_010,2020-01-13 02:21:00,cca_07,cca_03,cca_14,,cca_07,Assigned first choice
id_011,2020-01-13 02:21:00,cca_23,cca_22,cca_12,,cca_23,Assigned first choice
id_012,2020-01-13 02:21:00,cca_01,cca_09,cca_07,,cca_01,Assigned first choice
id_013,2020-01-13 02:21:00,cca_21,cca_20,cca_22,,cca_21,Assigned first choice
id_014,2020-01-13 02:21:00,cca_10,cca_09,cca_25,cca_10,cca_10,Assigned first choice
id_015,2020-01-13 02:21:00,cca_11,cca_17,cca_07,,cca_11,Assigned first choice
id_016,2020-01-13 02:21:00,cca_08,cca_20,cca_04,,cca_08,Assigned first choice
id_017,2020-01-13 02:21:00,cca_03,cca_19,cca_21,,cca_03,Assigned first choice
id_018,2020-01-13 02:21:00,cca_03,cca_18,cca_19,,cca_18,Assigned second choice
id_019,2020-01-13 02:21:00,cca_13,cca_11,cca_07,,cca_11,Assigned second choice
id_020,2020-01-13 02:21:00,cca_09,cca_24,cca_13,,cca_24,Assigned second choice
id_021,2020-01-13 02:21:00,cca_07,cca_20,cca_22,,cca_22,Assigned third choice
id_022,2020-01-13 02:21:00,cca_13,cca_18,cca_04,,cca_04,Assigned third choice
id_023,2020-01-13 02:21:00,cca_09,cca_06,cca_19,,cca_09,Assigned first choice
id_024,2020-01-13 02:21:00,cca_23,cca_12,cca_04,,cca_12,Assigned second choice
id_025,2020-01-13 02:21:00,cca_02,cca_13,cca_08,,cca_02,Assigned first choice
id_026,2020-01-13 02:21:00,cca_20,cca_11,cca_22,,cca_11,Assigned second choice
id_027,2020-01-13 02:21:00,cca_11,cca_17,cca_04,,cca_11,Assigned first choice
id_028,2020-01-13 02:21:00,cca_19,cca_08,cca_10,,cca_08,Assigned second choice
id_029,2020-01-13 02:21:00,cca_04,cca_19,cca_01,,cca_04,Assigned first choice
id_030,2020-01-13 02:21:00,cca_05,cca_21,cca_07,,cca_05,Assigned first choice
id_031,2020-01-13 02:21:00,cca_23,cca_11,cca_21,cca_23,cca_23,Assigned first choice
id_032,2020-01-13 02:21:00,cca_05,cca_23,cca_03,,cca_23,Assigned second choice
id_033,2020-01-13 02:21:00,cca_09,cca_07,cca_25,,cca_25,Assigned third choice
id_034,2020-01-13 04:21:00,cca_01,cca_19,cca_23,,cca_19,Assigned second choice
id_035,2020-01-13 04:21:00,cca_12,cca_18,cca_06,,cca_12,Assigned first choice
id_036,2020-01-13 04:21:00,cca_10,cca_22,cca_11,,cca_22,Assigned second choice
id_037,2020-01-13 04:21:00,cca_25,cca_20,cca_03,,cca_25,Assigned first choice
id_038,2020-01-13 04:21:00,cca_17,cca_19,cca_07,,cca_17,Assigned first choice
id_039,2020-01-13 04:21:00,cca_05,cca_09,cca_01,,cca_05,Assigned first choice
id_040,2020-01-13 04:21:00,cca_21,cca_04,cca_05,,cca_04,Assigned second choice
id_041,2020-01-13 04:21:00,cca_18,cca_10,cca_12,,cca_18,Assigned first choice
id_042,2020-01-13 04:21:00,cca_01,cca_10,cca_21,,cca_01,Assigned first choice
id_043,2020-01-13 04:21:00,cca_13,cca_05,cca_04,,cca_04,Assigned third choice
id_044,2020-01-13 04:21:00,cca_15,cca_17,cca_23,,cca_15,Assigned first choice
id_045,2020-01-13 04:21:00,cca_17,cca_20,cca_13,,cca_17,Assigned first choice
id_046,2020-01-13 04:21:00,cca_25,cca_03,cca_01,,cca_25,Assigned first choice
id_047,2020-01-13 04:21:00,cca_15,cca_21,cca_09,,cca_15,Assigned first choice
id_048,2020-01-13 04:21:00,cca_02,cca_11,cca_04,,cca_04,Assigned third choice
id_049,2020-01-13 04:21:00,cca_20,cca_11,cca_22,,cca_11,Assigned second choice
id_050,2020-01-13 04:21:00,cca_18,cca_24,cca_17,,cca_18,Assigned first choice
id_051,2020-01-13 04:21:00,cca_24,cca_20,cca_15,,cca_24,Assigned first choice
id_052,2020-01-13 04:21:00,cca_19,cca_12,cca_07,,cca_12,Assigned second choice
id_053,2020-01-13 04:21:00,cca_02,cca_15,cca_18,,cca_02,Assigned first choice
id_054,2020-01-13 04:21:00,cca_15,cca_04,cca_23,,cca_04,Assigned second choice
id_055,2020-01-13 02:21:00,cca_19,cca_18,cca_21,,cca_19,Assigned first choice
id_056,2020-01-13 02:21:00,cca_03,cca_16,cca_07,,cca_16,Assigned second choice
id_057,2020-01-13 02:21:00,cca_09,cca_07,cca_13,,cca_09,Assigned first choice
id_058,2020-01-13 02:21:00,cca_25,cca_17,cca_03,,cca_25,Assigned first choice
id_059,2020-01-13 02:21:00,cca_02,cca_12,cca_11,,cca_12,Assigned second choice
id_060,2020-01-13 02:21:00,cca_13,cca_01,cca_14,,cca_13,Assigned first choice
id_061,2020-01-13 02:21:00,cca_06,cca_11,cca_12,,cca_06,Assigned first choice
id_062,2020-01-13 02:21:00,cca_11,cca_18,cca_10,,cca_11,Assigned first choice
id_063,2020-01-13 02:21:00,cca_08,cca_03,cca_11,,cca_08,Assigned first choice
id_064,2020-01-13 02:21:00,cca_22,cca_24,cca_11,,cca_22,Assigned first choice
id_065,2020-01-13 02:21:00,cca_10,cca_17,cca_15,,cca_10,Assigned first choice
id_066,2020-01-13 02:21:00,cca_02,cca_03,cca_25,,cca_02,Assigned first choice
id_067,2020-01-13 02:21:00,cca_25,cca_14,cca_20,,cca_25,Assigned first choice
id_068,2020-01-13 02:21:00,cca_03,cca_04,cca_16,,cca_16,Assigned third choice
id_069,2020-01-13 02:21:00,cca_21,cca_18,cca_25,,cca_21,Assigned first choice
id_070,2020-01-13 02:21:00,cca_02,cca_23,cca_21,,cca_02,Assigned first choice
id_071,2020-01-13 02:21:00,cca_04,cca_21,cca_22,,cca_04,Assigned first choice
id_072,2020-01-13 02:21:00,cca_23,cca_08,cca_12,,cca_23,Assigned first choice
id_073,2020-01-13 02:21:00,cca_17,cca_22,cca_14,,cca_17,Assigned first choice
id_074,2020-01-13 02:21:00,cca_12,cca_24,cca_01,cca_12,cca_12,Assigned first choice
id_075,2020-01-13 02:21:00,cca_15,cca_09,cca_21,,cca_15,Assigned first choice
id_076,2020-01-13 02:21:00,cca_06,cca_11,cca_25,,cca_06,Assigned first choice
id_077,2020-01-13 02:21:00,cca_21,cca_08,cca_11,,cca_21,Assigned first choice
id_078,2020-01-13 02:21:00,cca_01,cca_04,cca_22,,cca_04,Assigned second choice
id_079,2020-01-13 02:21:00,cca_12,cca_25,cca_04,,cca_12,Assigned first choice
id_080,2020-01-13 02:21:00,cca_10,cca_11,cca_15,,cca_10,Assigned first choice
id_081,2020-01-13 02:21:00,cca_14,cca_13,cca_09,,cca_14,Assigned first choice
id_082,2020-01-13 02:21:00,cca_16,cca_13,cca_11,,cca_16,Assigned first choice
id_083,2020-01-13 02:21:00,cca_01,cca_22,cca_24,,cca_22,Assigned second choice
id_084,2020-01-13 02:21:00,cca_17,cca_16,cca_09,,cca_16,Assigned second choice
id_085,2020-01-13 02:21:00,cca_09,cca_15,cca_19,,cca_09,Assigned first choice
id_086,2020-01-13 02:21:00,cca_07,cca_10,cca_18,,cca_10,Assigned second choice
id_087,2020-01-13 02:21:00,cca_23,cca_25,cca_17,,cca_23,Assigned first choice
id_088,2020-01-13 02:21:00,cca_08,cca_05,cca_15,,cca_08,Assigned first choice
id_089,2020-01-13 02:21:00,cca_16,cca_11,cca_06,cca_16,cca_16,Assigned first choice
id_090,2020-01-13 02:21:00,cca_06,cca_13,cca_03,,cca_06,Assigned first choice
id_091,2020-01-13 02:21:00,cca_22,cca_07,cca_15,,cca_22,Assigned first choice
id_092,2020-01-13 02:21:00,cca_03,cca_10,cca_24,,cca_03,Assigned first choice
id_093,2020-01-13 02:21:00,cca_09,cca_16,cca_11,,cca_16,Assigned second choice
id_094,2020-01-13 02:21:00,cca_16,cca_10,cca_19,,cca_16,Assigned first choice
id_095,2020-01-13 02:21:00,cca_07,cca_05,cca_15,,cca_07,Assigned first choice
id_096,2020-01-13 02:21:00,cca_13,cca_23,cca_07,,cca_13,Assigned first choice
id_097,2020-01-13 02:21:00,cca_20,cca_14,cca_17,,cca_20,Assigned first choice
id_098,2020-01-13 02:21:00,cca_14,cca_02,cca_12,,cca_14,Assigned first choice
id_099,2020-01-13 02:21:00,cca_15,cca_19,cca_07,,cca_15,Assigned first choice
id_100,2020-01-13 02:21:00,cca_03,cca_05,cca_21,,cca_03,Assigned first choice
id_101,2020-01-13 02:21:00,cca_15,cca_09,cca_05,,cca_15,Assigned first choice
id_102,2020-01-13 02:21:00,cca_13,cca_03,cca_11,,cca_13,Assigned first choice
id_103,2020-01-13 02:21:00,cca_05,cca_01,cca_18,,cca_05,Assigned first choice
id_104,2020-01-13 02:21:00,cca_06,cca_20,cca_04,,cca_06,Assigned first choice
id_105,2020-01-13 02:21:00,cca_24,cca_15,cca_13,,cca_24,Assigned first choice
id_106,2020-01-13 02:21:00,cca_10,cca_07,cca_23,,cca_10,Assigned first choice
id_107,2020-01-13 02:21:00,cca_05,cca_01,cca_12,,cca_12,Assigned third choice
id_108,2020-01-13 02:21:00,cca_19,cca_10,cca_08,,cca_19,Assigned first choice
id_109,2020-01-13 02:21:00,cca_25,cca_05,cca_06,,cca_25,Assigned first choice
id_110,2020-01-13 02:21:00,cca_21,cca_11,cca_09,,cca_11,Assigned second choice
id_111,2020-01-13 02:21:00,cca_05,cca_03,cca_13,,cca_05,Assigned first choice
id_112,2020-01-13 02:21:00,cca_20,cca_25,cca_07,,cca_25,Assigned second choice
id_113,2020-01-13 02:21:00,cca_10,cca_24,cca_17,,cca_24,Assigned second choice
id_114,2020-01-13 02:21:00,cca_16,cca_10,cca_07,,cca_16,Assigned first choice
id_115,2020-01-13 02:21:00,cca_04,cca_22,cca_03,,cca_04,Assigned first choice
id_116,2020-01-13 02:21:00,cca_22,cca_06,cca_03,,cca_22,Assigned first choice
id_117,2020-01-13 02:21:00,cca_10,cca_05,cca_24,,cca_10,Assigned first choice
id_118,2020-01-13 02:21:00,cca_07,cca_17,cca_03,,cca_17,Assigned second choice
id_119,2020-01-13 02:21:00,cca_04,cca_02,cca_25,,cca_04,Assigned first choice
id_120,2020-01-13 02:21:00,cca_06,cca_22,cca_15,,cca_06,Assigned first choice
id_121,2020-01-13 02:21:00,cca_25,cca_11,cca_14,,cca_25,Assigned first choice
id_122,2020-01-13 02:21:00,cca_13,cca_24,cca_23,,cca_24,Assigned second choice
id_123,2020-01-13 02:21:00,cca_01,cca_24,cca_22,,cca_24,Assigned second choice
